sample,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample6_9jxio7lv,16111,15930,15930,0.9887654397616535,7,8,7,0,7,0,1,1.0,7,0,0,1.0,1.0,1.0,,,0.9991749618868263,0.9285714285714286,100.0,True,31161.0,4.0,135.20162892341614,,,,,,,,
sample9_9xc93i00,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9979517100117932,1.0,100.0,True,15836.0,3.0,183.11598706245422,,,,,,,,
sample14__ogx9pxj,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,14,2,0,0.875,1.0,0.875,,,0.9874037924399479,0.8957698551448552,87.5,False,82672.0,5.0,377.3144588470459,,,,,,,,
sample15_tx0ddrdy,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,19280.0,4.0,79.86489605903625,,,,,,,,
sample19_89u01r_7,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,16992.0,4.0,47.179670095443726,,,,,,,,
sample5_qour7sxp,16111,16111,16111,1.0,5,6,5,0,5,0,1,1.0,5,0,0,1.0,1.0,1.0,,,0.9988455092793742,0.9555555555555555,100.0,True,25149.0,4.0,119.9531569480896,,,,,,,,
sample10_tdk7atef,16111,16111,16111,1.0,8,10,8,0,8,0,2,1.0,8,0,0,1.0,1.0,1.0,,,0.9833033331264354,0.9092261904761905,100.0,True,59845.0,5.0,404.6879241466522,,,,,,,,
sample12_9fx2jj3l,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,18847.0,3.0,80.26110625267029,,,,,,,,
sample11_dicgxaxe,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,14443.0,3.0,59.89282584190369,,,,,,,,
sample1_ea8oc30r,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,15694.0,3.0,65.89297318458557,,,,,,,,
sample7_4182o3mx,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9958413506300043,0.7318614718614719,100.0,True,63268.0,4.0,227.09639286994934,,,,,,,,
sample18_8xafgg2y,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,78660.0,5.0,306.39151787757874,,,,,,,,
sample17_6skcl5h5,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,32660.0,5.0,91.35235595703125,,,,,,,,
sample2_atrs6r9g,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.999937930606418,0.9473684210526315,100.0,True,,,,,,,,,,,
sample8_ct58g_n8,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.9684576955782312,0.7697916666666667,50.0,False,62675.0,4.0,145.8981990814209,,,,,,,,
sample20_cdyojndt,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.798771026007076,0.9,0.0,False,60941.0,5.0,661.6675710678101,,,,,,,,
sample16_d0veikj5,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.5478533249458877,0.9999994515098993,0.8065917695984111,0.7720588235294118,66.66666666666666,False,27570.0,4.0,141.12671875953674,,,,,,,,
sample3_08a2ss5f,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,10967.0,3.0,33.911404609680176,,,,,,,,
sample13_euor9n1p,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,39503.0,4.0,120.34358716011047,,,,,,,,
sample4_ulbeji4x,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,37886.0,5.0,97.29691195487976,,,,,,,,
AGGREGATE,322220,305102,305102,0.9468748060331451,102,106,102,8,94,0,4,1.0,95,7,0,0.9313725490196079,1.0,0.9313725490196079,0.13696333123647192,0.9999998628774749,0.9842206675302814,0.9288083268622265,,,,,,90.20833333333334,16.0,714049.0,37581.52631578947,77.0,4.052631578947368,3378.449286699295,177.81312035259447
